"ONTOLOGY" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:0022613" "BP" "GO:0022613" "ribonucleoprotein complex biogenesis" "265/2723" "473/18862" 8.49851443518087e-102 5.22063741753161e-98 3.11492918561051e-98 "CELF4/LOC102724159/XRN2/TSR2/RPL3/RRP1B/PWP2/PIN4/EIF2S2/SRSF5/RPS21/NOP56/RPP38/SRSF6/DIS3/SNRPD3/SDAD1/SNRPD1/SRPK3/PRMT5/RIOK1/EIF3M/SRPK1/NCBP1/NUP88/RPS24/NGDN/EIF6/BMS1/RBMX/CUL4A/SNU13/C1QBP/DDX3X/RPL35/RPS10/HSP90AA1/RRP12/MDN1/PDCD11/EIF3A/MRPS2/AAR2/PRPF19/HSP90AB1/EIF5/STRAP/DICER1/UTP14A/MAK16/ESF1/PES1/SNRPC/NOP9/CLNS1A/EIF3L/DKC1/NAF1/CPSF6/UTP6/UTP14C/NOL10/MTREX/ABCE1/UTP18/PRKDC/UTP3/EXOSC3/MRPS11/LUC7L2/EIF2S3/SNRPB/UTP4/DDX17/EIF3D/KAT2B/NOB1/MPHOSPH10/GEMIN6/FCF1/MPHOSPH6/RPL14/EXOSC8/BRIX1/PAK1IP1/RPL7L1/RPL7A/EXOSC7/RIOK2/SUV39H1/RPF2/RPS19/UTP20/RPS5/DDX39B/DDX18/RRS1/GNL3L/NOP10/IMP4/NOLC1/NOC4L/LSM2/DDX51/AGO4/RPL7/AGO1/FBLL1/FTSJ3/UTP11/AGO2/GTPBP4/GNL2/EIF3CL/EIF3C/SLU7/POP4/NOL11/SF3A3/EIF3F/MRPL22/GAR1/SENP3/RUVBL1/RPS16/PRPF8/EIF3J/XRCC5/SRSF9/DDX28/DDX31/BOP1/NOP53/RPL27/EMG1/RPL10A/MRM2/EXOSC4/RSL24D1/RPS6/DDX56/RPL26/NOL6/EIF4H/ATR/EXOSC2/EIF3E/WDR43/SF1/PPAN/EIF3G/WDR75/EIF4B/NOM1/CPSF7/WDR46/LSM4/PTEN/NHP2/NSUN5/RPS15/WDR74/WDR3/NIP7/RPS28/BYSL/RPS25/RPL24/PIH1D1/SRSF1/PTGES3/TRMT112/EIF3B/RUVBL2/GTF2H5/NOP2/LSM6/NUDT16/DDX21/RPL23A/SBDS/IMP3/UTP23/RPL13A/TSR1/AGO3/LSG1/NPM1/TFB2M/MRPS7/DDX49/MYBBP1A/SRPK2/KRI1/NMD3/RRP15/NIFK/DHX9/RPS14/NUDT21/RRP9/RNASEL/AATF/SIRT7/PA2G4/NLE1/DDX23/DHX37/DDX1/NAT10/PRPF31/RPS9/SNRPG/CDC73/RPL11/SNRPD2/ATM/DDX47/DHX29/KRR1/SNRPE/RPS2/TBL3/ERCC2/DDX10/CELF1/TAF9/NSUN3/GLUL/RPL26L1/PWP1/TARBP2/NSA2/HEATR3/DDX54/RPL6/DHX30/RPS8/HEATR1/RPL38/FBL/RAN/XPO1/RPLP0/POLR2D/SNRPF/EXOSC5/PTBP2/EIF2A/MRPL20/NVL/RPSA/EIF3I/WDR12/NOP58/NOC2L/DDX20/RPL5/EXOSC10/NSUN4/EIF2D/SRSF10/MRTO4/RPF1/WDR77" 265
"GO:0006401" "BP" "GO:0006401" "RNA catabolic process" "221/2723" "414/18862" 3.47595107978118e-79 9.56341251732382e-76 5.70607578764388e-76 "XRN2/ROCK1/YWHAB/PSMC6/RPL3/PSMA7/PSMD10/RPS4X/RPS21/UPF2/DIS3/HELZ2/NCBP1/RPL36A/RPS24/METTL14/SLIRP/RPL35/RPS29/RNASEH2B/PSMB7/MAGOHB/RPS10/PATL1/APEX1/RPL12/ZC3H14/RPS3A/ANP32A/RPL23/RNPS1/PSMA4/LSM5/GSPT1/PSMA3/DKC1/RPS15A/NAF1/HSPA8/RPS12/WDR61/MTREX/RPS3/FMR1/RPL21/PRKCA/RPL37/EXOSC3/RPLP2/ZFP36L2/METTL3/YWHAZ/LSM3/RPL30/FASTKD5/RPL9/RPL14/EXOSC8/RBM10/RPL7A/EXOSC7/RPL31/AKT1/RPS19/RPS5/PAIP1/FEN1/MTOR/HSPB1/PPP2CA/LSM2/HSPA1A/HSPA1B/PSMA1/AGO4/RPL22/RPL7/SYNCRIP/PSMB2/AGO1/PSMA2/ETF1/AGO2/PSMC2/POLR2G/PSMC5/RPL18A/FUS/MAGOH/FXR2/RPL34/RPS16/RPL37A/PSMD14/RPL27/RPL10A/NUP214/RPLP1/FXR1/ZC3HAV1/SET/SKIV2L/EXOSC4/DHX36/RPS6/HNRNPC/PABPC1/RPL28/RPL26/EXOSC2/EIF3E/RPS20/RPL13/PSMA5/PSMA6/RPS18/LSM4/NSUN2/TENT4A/RPS15/RPS28/PSMC3/ZCCHC8/HNRNPM/RPL18/RPS25/RPL24/RPS11/RPL8/MLH1/RPL15/DIS3L2/FASTK/LSM7/LSM6/NUDT16/CNOT6L/PSMD2/RPL23A/EIF4G1/RPL13A/DIS3L/RPL4/RNASEH2A/AGO3/DDX5/CNOT4/MYD88/NPM1/UPF1/CNOT1/DDX49/RPL27A/RPL19/PSMB6/BTG2/DHX9/RPS13/RPS14/RNASEL/RPL29/DDX6/RPS23/RPL32/SSB/XRN1/TNPO1/CNOT3/RPS9/PSMD1/HNRNPU/RPL11/ATM/GIGYF2/PSMD7/UBA52/RPS2/CNOT9/CELF1/HNRNPA0/PSMD4/PUM2/LARP1/RPL6/UBC/RPL36/RPS8/RPL38/XPO1/RPLP0/UBB/POLR2D/RPS27A/PUM1/KHSRP/ZCCHC17/EXOSC5/PSME3/ELAVL1/LRPPRC/PSMD8/TAF15/PSMB3/PABPC4/YBX1/RPSA/YTHDF2/RC3H1/NCBP2/SERBP1/ROCK2/RPL5/TARDBP/EXOSC10/HNRNPR/LIN28A/RBM8A/MOV10/CSDE1/MRTO4/PSMB4" 221
"GO:0042254" "BP" "GO:0042254" "ribosome biogenesis" "186/2723" "307/18862" 4.67039517368899e-79 9.56341251732382e-76 5.70607578764388e-76 "LOC102724159/XRN2/TSR2/RPL3/RRP1B/PWP2/PIN4/RPS21/NOP56/RPP38/DIS3/SDAD1/RIOK1/NUP88/RPS24/NGDN/EIF6/BMS1/CUL4A/SNU13/C1QBP/DDX3X/RPL35/RPS10/RRP12/MDN1/PDCD11/MRPS2/UTP14A/MAK16/ESF1/PES1/NOP9/DKC1/NAF1/UTP6/UTP14C/NOL10/MTREX/ABCE1/UTP18/PRKDC/UTP3/EXOSC3/MRPS11/UTP4/DDX17/KAT2B/NOB1/MPHOSPH10/FCF1/MPHOSPH6/RPL14/EXOSC8/BRIX1/PAK1IP1/RPL7L1/RPL7A/EXOSC7/RIOK2/SUV39H1/RPF2/RPS19/UTP20/RPS5/DDX18/RRS1/GNL3L/NOP10/IMP4/NOLC1/NOC4L/DDX51/RPL7/FBLL1/FTSJ3/UTP11/GTPBP4/GNL2/POP4/NOL11/MRPL22/GAR1/SENP3/RPS16/XRCC5/DDX28/DDX31/BOP1/NOP53/RPL27/EMG1/RPL10A/MRM2/EXOSC4/RSL24D1/RPS6/DDX56/RPL26/NOL6/EXOSC2/WDR43/PPAN/WDR75/NOM1/WDR46/PTEN/NHP2/NSUN5/RPS15/WDR74/WDR3/NIP7/RPS28/BYSL/RPS25/RPL24/PIH1D1/TRMT112/GTF2H5/NOP2/LSM6/NUDT16/DDX21/RPL23A/SBDS/IMP3/UTP23/TSR1/LSG1/NPM1/TFB2M/MRPS7/DDX49/MYBBP1A/KRI1/NMD3/RRP15/NIFK/RPS14/RRP9/RNASEL/AATF/SIRT7/PA2G4/NLE1/DHX37/NAT10/RPS9/RPL11/DDX47/DHX29/KRR1/RPS2/TBL3/ERCC2/DDX10/NSUN3/GLUL/RPL26L1/PWP1/NSA2/HEATR3/DDX54/RPL6/DHX30/RPS8/HEATR1/RPL38/FBL/RAN/XPO1/RPLP0/EXOSC5/EIF2A/MRPL20/NVL/RPSA/WDR12/NOP58/NOC2L/RPL5/EXOSC10/NSUN4/MRTO4/RPF1" 186
"GO:0006402" "BP" "GO:0006402" "mRNA catabolic process" "207/2723" "375/18862" 1.17313814588941e-77 1.80164690754967e-74 1.07496500631235e-74 "XRN2/ROCK1/YWHAB/PSMC6/RPL3/PSMA7/PSMD10/RPS4X/RPS21/UPF2/DIS3/HELZ2/NCBP1/RPL36A/RPS24/METTL14/RPL35/RPS29/PSMB7/MAGOHB/RPS10/PATL1/APEX1/RPL12/ZC3H14/RPS3A/ANP32A/RPL23/RNPS1/PSMA4/LSM5/GSPT1/PSMA3/RPS15A/HSPA8/RPS12/WDR61/RPS3/FMR1/RPL21/PRKCA/RPL37/EXOSC3/RPLP2/ZFP36L2/METTL3/YWHAZ/LSM3/RPL30/FASTKD5/RPL9/RPL14/EXOSC8/RBM10/RPL7A/EXOSC7/RPL31/AKT1/RPS19/RPS5/PAIP1/MTOR/HSPB1/PPP2CA/LSM2/HSPA1A/HSPA1B/PSMA1/AGO4/RPL22/RPL7/SYNCRIP/PSMB2/AGO1/PSMA2/ETF1/AGO2/PSMC2/POLR2G/PSMC5/RPL18A/FUS/MAGOH/FXR2/RPL34/RPS16/RPL37A/PSMD14/RPL27/RPL10A/NUP214/RPLP1/FXR1/ZC3HAV1/SET/SKIV2L/EXOSC4/DHX36/RPS6/HNRNPC/PABPC1/RPL28/RPL26/EXOSC2/EIF3E/RPS20/RPL13/PSMA5/PSMA6/RPS18/LSM4/TENT4A/RPS15/RPS28/PSMC3/HNRNPM/RPL18/RPS25/RPL24/RPS11/RPL8/MLH1/RPL15/DIS3L2/FASTK/LSM7/LSM6/NUDT16/CNOT6L/PSMD2/RPL23A/EIF4G1/RPL13A/RPL4/AGO3/DDX5/CNOT4/MYD88/NPM1/UPF1/CNOT1/RPL27A/RPL19/PSMB6/BTG2/DHX9/RPS13/RPS14/RNASEL/RPL29/DDX6/RPS23/RPL32/SSB/XRN1/TNPO1/CNOT3/RPS9/PSMD1/HNRNPU/RPL11/ATM/GIGYF2/PSMD7/UBA52/RPS2/CNOT9/CELF1/HNRNPA0/PSMD4/PUM2/LARP1/RPL6/UBC/RPL36/RPS8/RPL38/XPO1/RPLP0/UBB/POLR2D/RPS27A/PUM1/KHSRP/EXOSC5/PSME3/ELAVL1/PSMD8/TAF15/PSMB3/PABPC4/YBX1/RPSA/YTHDF2/RC3H1/NCBP2/SERBP1/ROCK2/RPL5/TARDBP/EXOSC10/HNRNPR/RBM8A/MOV10/CSDE1/MRTO4/PSMB4" 207
"GO:0006413" "BP" "GO:0006413" "translational initiation" "133/2723" "193/18862" 7.55518154503758e-67 9.28229604623317e-64 5.53834571364649e-64 "RPL3/EIF2S2/RPS4X/RPS21/EIF3M/NCBP1/RPL36A/RPS24/EIF6/EIF2AK4/EIF2B2/DDX3X/RPL35/RPS29/RPS10/EIF3A/EIF5/RPL12/RPS3A/RPL23/EIF3L/RPS15A/RPS12/EIF2S1/ABCE1/RPS3/ATF4/FMR1/RPL21/RPL37/EIF2S3/RPLP2/METTL3/EIF3D/RPL30/RPL9/RPL14/RPL7A/RPL31/RPS19/RPS5/PAIP1/MTOR/TNF/EIF1AX/HSPB1/RPL22/RPL7/GLE1/AGO2/POLR2G/EIF3CL/EIF3C/PPP1CA/RPL18A/EIF4G2/EIF3F/RPL34/RPS16/EIF4E/RPL37A/EIF3J/NCK1/EIF4EBP2/RPL27/RPL10A/RPLP1/COPS5/EIF4A1/RPS6/PABPC1/RPL28/RPL26/EIF4H/TMED2/EIF3E/RPS20/EIF3G/RPL13/EIF4B/RPS18/RPS15/RPS28/RPL18/RPS25/RPL24/RPS11/RPL8/EIF3B/RPL15/RPL23A/EIF4G1/RPL13A/TPR/RPL4/NPM1/RPL27A/RPL19/MTIF2/EIF4A2/RPS13/RPS14/RPL29/RPS23/RPL32/DDX1/RPS9/RPL11/DHX29/UBA52/RPS2/LARP1/RPL6/RPL36/RPS8/EIF2B3/RPL38/RPLP0/POLR2D/RPS27A/EIF2A/EIF5B/RPSA/EIF3I/YTHDF2/EIF2AK3/NCBP2/KHDRBS1/RPL5/EIF4E2/EIF2D/EIF4G3/CSDE1" 133
"GO:0034660" "BP" "GO:0034660" "ncRNA metabolic process" "223/2723" "492/18862" 8.61719293180563e-63 8.822569363347e-60 5.26404662956969e-60 "LOC102724159/TRMT6/XRN2/SMAD2/TSR2/RRP1B/PWP2/PIN4/RPS21/NOP56/RTRAF/RPP38/NSUN6/RTCB/EEF1E1/NARS1/DIS3/FTSJ1/AIMP2/RIOK1/RPS24/NGDN/EIF6/BMS1/SNU13/CSTF2/RPL35/RRP12/MDN1/PDCD11/DICER1/NARS2/UTP14A/MAK16/ESF1/PES1/NOP9/CARS2/DKC1/NAF1/UTP6/UTP14C/NOL10/MTREX/UTP18/DDX4/PRKDC/UTP3/EXOSC3/MRPS11/METTL3/UTP4/DDX17/KAT2B/NOB1/MPHOSPH10/FCF1/MPHOSPH6/TP53RK/RPL14/EXOSC8/MEPCE/RPP25L/RPL7L1/PUSL1/RPL7A/EXOSC7/RIOK2/SUV39H1/RPF2/TDRD12/GARS1/RPS19/UTP20/DDX18/RRS1/NOP10/CARS1/IMP4/XPO5/PPA1/NOLC1/NOC4L/VARS1/DDX51/AGO4/ALKBH8/RPL7/RARS1/PSTK/AGO1/FBLL1/MARS1/FTSJ3/UTP11/AGO2/DARS1/METTL1/GTPBP4/POP4/NOL11/SEPSECS/GAR1/SENP3/SRRT/RPS16/TDRD9/KARS1/CPSF1/NFKB1/BOP1/HNRNPA2B1/NOP53/AIMP1/RPL27/EMG1/RPL10A/LARS1/IL6/SARS2/TARS3/MRM2/EXOSC4/RPS6/INTS4/DDX56/RPL26/NOL6/EXOSC2/WDR43/SMAD3/WDR75/TRMT12/WDR46/NHP2/SARS1/NSUN5/NSUN2/FKBP6/RPS15/WDR74/WDR3/RPS28/BYSL/ZCCHC8/RPS25/PIH1D1/TRMT112/DIS3L2/GTF2H5/NOP2/LSM6/NUDT16/DDX21/SBDS/IMP3/TARS1/UTP23/DIS3L/TSR1/LARP7/AGO3/TFB2M/DDX49/HRAS/KRI1/QTRT1/TRMT1L/TPRKB/STAT3/RRP15/NIFK/RPS14/MAPT/RRP9/RNASEL/QARS1/SIRT7/PA2G4/SSB/XRN1/DHX37/DDX1/TRMT1/NAT10/RPS9/RPL11/DDX47/KRR1/RPS2/TBL3/ERCC2/DDX10/NSUN3/POLR3K/TARBP2/NSA2/DDX54/CTU1/DUS1L/RPS8/HEATR1/FBL/RAN/THUMPD3/KHSRP/EXOSC5/NVL/OSGEPL1/RC3H1/WDR12/NOP58/RPL5/EXOSC10/YARS1/ZBTB8OS/NSUN4/LIN28A/TARS2/EPRS1/IARS2/MRTO4/RPF1" 223
"GO:0019080" "BP" "GO:0019080" "viral gene expression" "131/2723" "198/18862" 1.61233850372862e-62 1.41494220405784e-59 8.44234987967377e-60 "GTF2F2/RPL3/RRP1B/RAE1/RPS4X/RPS21/EP300/NELFCD/NUP58/SMARCB1/TRIM21/NUP88/RPL36A/RPS24/EIF2AK4/RPL35/RPS29/RPS10/SNW1/EIF3A/RPL12/POLR2F/CDK9/CCNT1/RPS3A/CTDP1/RPL23/NUP155/POLR2E/EIF3L/RPS15A/RPS12/RPS3/RPL21/RPL37/RPLP2/POLR2L/POLR2B/EIF3D/RPL30/RPL9/RPL14/NUP37/RPL7A/RPL31/RPS19/NUP210/RPS5/POLR2C/RPL22/RPL7/SPCS1/POLR2G/RPL18A/SUPT4H1/EIF3F/RPL34/RPS16/SUPT5H/RPL37A/RPL27/RPL10A/NUP54/NUP214/RPLP1/NUP98/NUP62/RPS6/RPL28/RPL26/RPS20/EIF3G/RPL13/FURIN/RPS18/RPS15/RPS28/PSMC3/RPL18/RPS25/RPL24/SEC13/RPS11/RPL8/EIF3B/SP1/RPL15/RPL23A/PTBP1/RPL13A/TPR/RPL4/HMGA2/LARP7/HEXIM1/NUP85/RPL27A/RPL19/POLR2J/DHX9/RPS13/RPS14/RPL29/RPS23/RPL32/GTF2F1/SSB/POLR2I/RPS9/RPL11/UBA52/RPS2/SMARCA4/PCBP2/TARBP2/RPL6/RPL36/RPS8/RPL38/RPLP0/POLR2D/RPS27A/POLR2H/JUN/RPSA/HDAC1/RPL5/TARDBP/RANBP2/EIF2D/CSDE1" 131
"GO:0006364" "BP" "GO:0006364" "rRNA processing" "139/2723" "228/18862" 1.2284157805914e-59 9.43269767521625e-57 5.62808387897273e-57 "LOC102724159/XRN2/TSR2/RRP1B/PWP2/PIN4/RPS21/NOP56/RPP38/DIS3/RIOK1/RPS24/NGDN/EIF6/BMS1/SNU13/RPL35/RRP12/MDN1/PDCD11/UTP14A/MAK16/ESF1/PES1/NOP9/DKC1/NAF1/UTP6/UTP14C/NOL10/MTREX/UTP18/PRKDC/UTP3/EXOSC3/MRPS11/UTP4/DDX17/KAT2B/NOB1/MPHOSPH10/FCF1/MPHOSPH6/RPL14/EXOSC8/RPL7L1/RPL7A/EXOSC7/RIOK2/SUV39H1/RPF2/RPS19/UTP20/DDX18/RRS1/NOP10/IMP4/NOLC1/NOC4L/DDX51/RPL7/FBLL1/FTSJ3/UTP11/GTPBP4/POP4/NOL11/GAR1/SENP3/RPS16/BOP1/NOP53/RPL27/EMG1/RPL10A/MRM2/EXOSC4/RPS6/DDX56/RPL26/NOL6/EXOSC2/WDR43/WDR75/WDR46/NHP2/NSUN5/RPS15/WDR74/WDR3/RPS28/BYSL/RPS25/PIH1D1/TRMT112/GTF2H5/NOP2/LSM6/NUDT16/DDX21/SBDS/IMP3/UTP23/TSR1/TFB2M/DDX49/KRI1/RRP15/NIFK/RPS14/RRP9/RNASEL/SIRT7/PA2G4/DHX37/NAT10/RPS9/RPL11/DDX47/KRR1/RPS2/TBL3/ERCC2/DDX10/NSUN3/NSA2/DDX54/RPS8/HEATR1/FBL/EXOSC5/NVL/WDR12/NOP58/RPL5/EXOSC10/NSUN4/MRTO4/RPF1" 139
"GO:0016072" "BP" "GO:0016072" "rRNA metabolic process" "142/2723" "238/18862" 3.31457789769659e-59 2.26238355839446e-56 1.34986669471105e-56 "LOC102724159/XRN2/TSR2/RRP1B/PWP2/PIN4/RPS21/NOP56/RPP38/DIS3/RIOK1/RPS24/NGDN/EIF6/BMS1/SNU13/RPL35/RRP12/MDN1/PDCD11/UTP14A/MAK16/ESF1/PES1/NOP9/DKC1/NAF1/UTP6/UTP14C/NOL10/MTREX/UTP18/PRKDC/UTP3/EXOSC3/MRPS11/UTP4/DDX17/KAT2B/NOB1/MPHOSPH10/FCF1/MPHOSPH6/RPL14/EXOSC8/RPL7L1/RPL7A/EXOSC7/RIOK2/SUV39H1/RPF2/RPS19/UTP20/DDX18/RRS1/NOP10/IMP4/NOLC1/NOC4L/DDX51/RPL7/FBLL1/FTSJ3/UTP11/GTPBP4/POP4/NOL11/GAR1/SENP3/RPS16/BOP1/NOP53/RPL27/EMG1/RPL10A/MRM2/EXOSC4/RPS6/DDX56/RPL26/NOL6/EXOSC2/WDR43/WDR75/WDR46/NHP2/NSUN5/RPS15/WDR74/WDR3/RPS28/BYSL/RPS25/PIH1D1/TRMT112/GTF2H5/NOP2/LSM6/NUDT16/DDX21/SBDS/IMP3/UTP23/DIS3L/TSR1/TFB2M/DDX49/KRI1/RRP15/NIFK/RPS14/MAPT/RRP9/RNASEL/SIRT7/PA2G4/XRN1/DHX37/NAT10/RPS9/RPL11/DDX47/KRR1/RPS2/TBL3/ERCC2/DDX10/NSUN3/NSA2/DDX54/RPS8/HEATR1/FBL/EXOSC5/NVL/WDR12/NOP58/RPL5/EXOSC10/NSUN4/MRTO4/RPF1" 142
"GO:0019083" "BP" "GO:0019083" "viral transcription" "117/2723" "180/18862" 1.14441614157325e-54 7.03014835768446e-52 4.19458632100848e-52 "GTF2F2/RPL3/RRP1B/RAE1/RPS4X/RPS21/EP300/NELFCD/NUP58/SMARCB1/TRIM21/NUP88/RPL36A/RPS24/RPL35/RPS29/RPS10/SNW1/RPL12/POLR2F/CDK9/CCNT1/RPS3A/CTDP1/RPL23/NUP155/POLR2E/RPS15A/RPS12/RPS3/RPL21/RPL37/RPLP2/POLR2L/POLR2B/RPL30/RPL9/RPL14/NUP37/RPL7A/RPL31/RPS19/NUP210/RPS5/POLR2C/RPL22/RPL7/POLR2G/RPL18A/SUPT4H1/RPL34/RPS16/SUPT5H/RPL37A/RPL27/RPL10A/NUP54/NUP214/RPLP1/NUP98/NUP62/RPS6/RPL28/RPL26/RPS20/RPL13/RPS18/RPS15/RPS28/PSMC3/RPL18/RPS25/RPL24/SEC13/RPS11/RPL8/SP1/RPL15/RPL23A/RPL13A/TPR/RPL4/HMGA2/LARP7/HEXIM1/NUP85/RPL27A/RPL19/POLR2J/DHX9/RPS13/RPS14/RPL29/RPS23/RPL32/GTF2F1/POLR2I/RPS9/RPL11/UBA52/RPS2/SMARCA4/TARBP2/RPL6/RPL36/RPS8/RPL38/RPLP0/POLR2D/RPS27A/POLR2H/JUN/RPSA/HDAC1/RPL5/TARDBP/RANBP2" 117
