"","V1","V2","V3","V4"
"1",NA,"protein1","protein2","combined_score"
"2",1558,"M6PR","CTSW","720"
"3",1575,"M6PR","RAB9A","698"
"4",1633,"M6PR","VPS51","703"
"5",1729,"M6PR","VPS52","715"
"6",1787,"M6PR","AP1M1","763"
"7",1792,"M6PR","VAMP2","673"
"8",1906,"M6PR","NAPA","724"
"9",2024,"FKBP4","HSPA1B","736"
"10",2282,"FKBP4","DNAJB1","749"
"11",2372,"FKBP4","SERPINB2","713"
"12",2474,"FKBP4","CDC37","727"
"13",3690,"CYP26B1","UGT1A7","659"
"14",3691,"CYP26B1","UGT1A5","659"
"15",3699,"CYP26B1","RARS1","778"
"16",3855,"CYP26B1","UGT1A3","659"
"17",3893,"CYP26B1","UGT2A2","659"
"18",4072,"CYP26B1","UGT1A4","659"
"19",4076,"CYP26B1","UGT1A10","659"
"20",4130,"CYP26B1","UGT1A9","659"
"21",4145,"CYP26B1","UGT1A8","659"
"22",4162,"CYP26B1","UGT1A1","659"
"23",4174,"CYP26B1","UGT2B17","659"
"24",4213,"CYP26B1","CRABP2","665"
"25",13067,"RALA","VAMP2","723"
"26",13616,"RALA","KIF3B","666"
"27",13733,"RALA","SYT13","686"
"28",14049,"RALA","CCND1","721"
"29",14314,"RALA","ARF6","779"
"30",14718,"CACNG3","CATSPER4","720"
"31",14773,"CACNG3","GRIN3B","783"
"32",14929,"CACNG3","CATSPER1","746"
"33",14944,"CACNG3","OLFM2","739"
"34",15026,"CACNG3","CATSPERZ","720"
"35",15054,"CACNG3","SHISA9","740"
"36",15074,"CACNG3","GRIN2D","778"
"37",15255,"CACNG3","GRIK5","676"
"38",15341,"CACNG3","CACNG5","790"
"39",15356,"CACNG3","CATSPERB","781"
"40",15543,"CACNG3","STAC3","720"
"41",15625,"CACNG3","CNIH3","769"
"42",15732,"CACNG3","CATSPER3","737"
"43",19651,"HOXA11","SIX2","679"
"44",20147,"CX3CL1","TNF","731"
"45",20164,"CX3CL1","CSF2","657"
"46",20192,"CX3CL1","CXCL10","741"
"47",20234,"CX3CL1","CCR8","768"
"48",20274,"CX3CL1","CCL11","709"
"49",20278,"CX3CL1","CXCL1","747"
"50",20362,"CX3CL1","ITGB3","658"
"51",20393,"CX3CL1","CXCR5","756"
"52",20406,"CX3CL1","CCL22","653"
"53",20410,"CX3CL1","CCL3","742"
"54",20419,"CX3CL1","CXCR6","791"
"55",20423,"CX3CL1","IL10","689"
"56",20577,"CX3CL1","CCL5","779"
