"","from","to","ver[el[, 1], ]","ver2[el[, 2], ]"
"1",321,2056,"9606.ENSP00000466967","9606.ENSP00000216122"
"2",321,2055,"9606.ENSP00000466967","9606.ENSP00000221132"
"3",321,2054,"9606.ENSP00000466967","9606.ENSP00000221566"
"4",321,2053,"9606.ENSP00000466967","9606.ENSP00000233156"
"5",321,2052,"9606.ENSP00000466967","9606.ENSP00000246337"
"6",321,2051,"9606.ENSP00000466967","9606.ENSP00000252818"
"7",321,2050,"9606.ENSP00000466967","9606.ENSP00000257347"
"8",321,2049,"9606.ENSP00000466967","9606.ENSP00000258955"
"9",321,2048,"9606.ENSP00000466967","9606.ENSP00000261507"
"10",321,2047,"9606.ENSP00000466967","9606.ENSP00000263080"
"11",321,2046,"9606.ENSP00000466967","9606.ENSP00000264151"
"12",321,2045,"9606.ENSP00000466967","9606.ENSP00000264709"
"13",321,2044,"9606.ENSP00000466967","9606.ENSP00000276431"
"14",321,2043,"9606.ENSP00000466967","9606.ENSP00000302967"
"15",321,2042,"9606.ENSP00000466967","9606.ENSP00000303584"
"16",321,2041,"9606.ENSP00000466967","9606.ENSP00000320604"
"17",321,2040,"9606.ENSP00000466967","9606.ENSP00000328547"
"18",321,2039,"9606.ENSP00000466967","9606.ENSP00000351619"
"19",321,2038,"9606.ENSP00000466967","9606.ENSP00000356940"
"20",321,2037,"9606.ENSP00000466967","9606.ENSP00000358151"
"21",321,2036,"9606.ENSP00000466967","9606.ENSP00000360576"
"22",321,2035,"9606.ENSP00000466967","9606.ENSP00000360918"
"23",321,2034,"9606.ENSP00000466967","9606.ENSP00000361471"
"24",321,2033,"9606.ENSP00000466967","9606.ENSP00000369897"
"25",321,2032,"9606.ENSP00000466967","9606.ENSP00000370718"
"26",321,2031,"9606.ENSP00000466967","9606.ENSP00000398882"
"27",321,2030,"9606.ENSP00000466967","9606.ENSP00000404843"
"28",321,2029,"9606.ENSP00000466967","9606.ENSP00000225174"
"29",321,2029,"9606.ENSP00000466967","9606.ENSP00000225174"
"30",321,2028,"9606.ENSP00000466967","9606.ENSP00000237612"
"31",321,2028,"9606.ENSP00000466967","9606.ENSP00000237612"
"32",321,2027,"9606.ENSP00000466967","9606.ENSP00000241052"
"33",321,2027,"9606.ENSP00000466967","9606.ENSP00000241052"
"34",321,2026,"9606.ENSP00000466967","9606.ENSP00000246024"
"35",321,2025,"9606.ENSP00000466967","9606.ENSP00000322316"
"36",321,2024,"9606.ENSP00000466967","9606.ENSP00000361170"
"37",321,2023,"9606.ENSP00000466967","9606.ENSP00000363832"
"38",321,2023,"9606.ENSP00000466967","9606.ENSP00000363832"
"39",321,2022,"9606.ENSP00000466967","9606.ENSP00000368030"
"40",321,2021,"9606.ENSP00000466967","9606.ENSP00000386902"
"41",321,2020,"9606.ENSP00000466967","9606.ENSP00000393316"
"42",321,2019,"9606.ENSP00000466967","9606.ENSP00000397261"
"43",321,2018,"9606.ENSP00000466967","9606.ENSP00000409924"
