"","vS1","vS2"
"1","9606.ENSP00000387361","9606.ENSP00000478783"
"2","9606.ENSP00000478783","9606.ENSP00000378405"
"9","9606.ENSP00000387361","9606.ENSP00000469863"
"10","9606.ENSP00000469863","9606.ENSP00000378405"
"17","9606.ENSP00000387361","9606.ENSP00000450895"
"18","9606.ENSP00000450895","9606.ENSP00000378405"
"25","9606.ENSP00000387361","9606.ENSP00000442656"
"26","9606.ENSP00000442656","9606.ENSP00000378405"
"33","9606.ENSP00000387361","9606.ENSP00000441755"
"34","9606.ENSP00000441755","9606.ENSP00000378405"
"41","9606.ENSP00000387361","9606.ENSP00000437621"
"42","9606.ENSP00000437621","9606.ENSP00000378405"
"49","9606.ENSP00000387361","9606.ENSP00000423673"
"50","9606.ENSP00000423673","9606.ENSP00000378405"
"57","9606.ENSP00000387361","9606.ENSP00000419361"
"58","9606.ENSP00000419361","9606.ENSP00000378405"
"65","9606.ENSP00000387361","9606.ENSP00000405926"
"66","9606.ENSP00000405926","9606.ENSP00000378405"
"73","9606.ENSP00000387361","9606.ENSP00000405574"
"74","9606.ENSP00000405574","9606.ENSP00000378405"
"81","9606.ENSP00000387361","9606.ENSP00000401907"
"82","9606.ENSP00000401907","9606.ENSP00000378405"
"89","9606.ENSP00000387361","9606.ENSP00000396452"
"90","9606.ENSP00000396452","9606.ENSP00000378405"
"97","9606.ENSP00000387361","9606.ENSP00000385571"
"98","9606.ENSP00000385571","9606.ENSP00000378405"
"105","9606.ENSP00000387361","9606.ENSP00000382863"
"106","9606.ENSP00000382863","9606.ENSP00000378405"
"113","9606.ENSP00000387361","9606.ENSP00000381932"
"114","9606.ENSP00000381932","9606.ENSP00000378405"
"121","9606.ENSP00000387361","9606.ENSP00000373574"
"122","9606.ENSP00000373574","9606.ENSP00000378405"
"129","9606.ENSP00000387361","9606.ENSP00000372191"
"130","9606.ENSP00000372191","9606.ENSP00000378405"
"137","9606.ENSP00000387361","9606.ENSP00000369666"
"138","9606.ENSP00000369666","9606.ENSP00000378405"
"145","9606.ENSP00000387361","9606.ENSP00000364815"
"146","9606.ENSP00000364815","9606.ENSP00000378405"
"153","9606.ENSP00000387361","9606.ENSP00000364133"
"154","9606.ENSP00000364133","9606.ENSP00000378405"
"161","9606.ENSP00000387361","9606.ENSP00000362139"
"162","9606.ENSP00000362139","9606.ENSP00000378405"
"169","9606.ENSP00000387361","9606.ENSP00000361107"
