"","PreyUniprotAcc","diferEnsamb","Bait","PreyGeneName","MIST","SAINT_BFDR","AvgSpec","FoldChange","Uniprot Protein ID","Uniprot Protein Description","Uniprot Function","Structures (PDB)","Uniprot Function in Disease"
"1","A3KN83","ENSP00000387361","Nsp12","SBNO1","0.969888009","0.0","15.0","150.0","SBNO1_HUMAN","Protein strawberry notch homolog 1 (Monocyte protein 3) (MOP-3)",NA,NA,NA
"2","A7MCY6","ENSP00000354777","Nsp13","TBKBP1","0.985289524","0.0","6.33","63.33","TBKB1_HUMAN","TANK-binding kinase 1-binding protein 1 (TBK1-binding protein 1)"," Adapter protein which constitutively binds TBK1 and IKBKE playing a role in antiviral innate immunity. {ECO:0000269|PubMed:21931631}.",NA,NA
"3","O00116","ENSP00000264167","Nsp7","AGPS","0.826490325","0.0","7.67","76.67","ADAS_HUMAN","Alkyldihydroxyacetonephosphate synthase, peroxisomal (Alkyl-DHAP synthase) (EC 2.5.1.26) (Aging-associated gene 5 protein) (Alkylglycerone-phosphate synthase)"," Catalyzes the exchange of the acyl chain in acyl-dihydroxyacetonephosphate (acyl-DHAP) for a long chain fatty alcohol, yielding the first ether linked intermediate, i.e. alkyl-dihydroxyacetonephosphate (alkyl-DHAP), in the pathway of ether lipid biosynthesis. {ECO:0000269|PubMed:8399344, ECO:0000269|PubMed:9553082}.",NA," Rhizomelic chondrodysplasia punctata 3 (RCDP3) [MIM:600121]: A form of rhizomelic chondrodysplasia punctata, a disease characterized by severely disturbed endochondral bone formation, rhizomelic shortening of femur and humerus, vertebral disorders, dwarfism, cataract, cutaneous lesions, facial dysmorphism, and severe mental retardation with spasticity. {ECO:0000269|PubMed:11152660, ECO:0000269|PubMed:21990100, ECO:0000269|PubMed:9553082}. Note=The disease is caused by mutations affecting the gene represented in this entry."
"4","O00124","ENSP00000481635","Orf9c","UBXN8","0.770566762","0.0","2.67","26.67","UBXN8_HUMAN","UBX domain-containing protein 8 (Reproduction 8 protein) (Rep-8 protein) (UBX domain-containing protein 6)"," Involved in endoplasmic reticulum-associated degradation (ERAD) for misfolded lumenal proteins, possibly by tethering VCP to the endoplasmic reticulum membrane. May play a role in reproduction. {ECO:0000269|PubMed:21949850}.",NA,NA
"5","O00203","ENSP00000430597","E","AP3B1","0.963550095","0.0","4.67","46.67","AP3B1_HUMAN","AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain)","Subunit of non-clathrin- and clathrin-associated adaptor protein complex 3 (AP-3) that plays a role in protein sorting in the late-Golgi/trans-Golgi network (TGN) and/or endosomes. The AP complexes mediate both the recruitment of clathrin to membranes and the recognition of sorting signals within the cytosolic tails of transmembrane cargo molecules. AP-3 appears to be involved in the sorting of a subset of transmembrane proteins targeted to lysosomes and lysosome-related organelles. In concert with the BLOC-1 complex, AP-3 is required to target cargos into vesicles assembled at cell bodies for delivery into neurites and nerve terminals.",NA," Hermansky-Pudlak syndrome 2 (HPS2) [MIM:608233]: A form of Hermansky-Pudlak syndrome, a genetically heterogeneous autosomal recessive disorder characterized by oculocutaneous albinism, bleeding due to platelet storage pool deficiency, and lysosomal storage defects. This syndrome results from defects of diverse cytoplasmic organelles including melanosomes, platelet dense granules and lysosomes. Ceroid storage in the lungs is associated with pulmonary fibrosis, a common cause of premature death in individuals with HPS. HPS2 differs from the other forms of HPS in that it includes immunodeficiency in its phenotype and patients with HPS2 have an increased susceptibility to infections. {ECO:0000269|PubMed:10024875}. Note=The disease is caused by mutations affecting the gene represented in this entry."
"6","O00469","ENSP00000419354","Orf8","PLOD2","0.992483418","0.0","13.67","136.67","PLOD2_HUMAN","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 (EC 1.14.11.4) (Lysyl hydroxylase 2) (LH2)"," Forms hydroxylysine residues in -Xaa-Lys-Gly- sequences in collagens. These hydroxylysines serve as sites of attachment for carbohydrate units and are essential for the stability of the intermolecular collagen cross-links. {ECO:0000250|UniProtKB:P24802}.",NA," Bruck syndrome 2 (BRKS2) [MIM:609220]: An autosomal recessive disease characterized by generalized osteopenia, congenital joint contractures, fragile bones with onset of fractures in infancy or early childhood, short stature, severe limb deformity, progressive scoliosis, and pterygia. It is distinguished from osteogenesis imperfecta by the absence of hearing loss and dentinogenesis imperfecta, and by the presence of clubfoot and congenital joint limitations. {ECO:0000269|PubMed:12881513, ECO:0000269|PubMed:15523624}. Note=The disease is caused by mutations affecting the gene represented in this entry. The molecular defect leading to Bruck syndrome is an aberrant cross-linking of bone collagen, due to underhydroxylation of lysine residues within the telopeptides of type I collagen, whereas the lysine residues in the triple helix are normal.; DISEASE: Note=PLOD2 mutations give rise to a broad variety of phenotypes with variable degrees of severity of bone fragility and joint contractures. Disease-associated mutations have been found in patients with autosomal recessive osteogenesis imperfecta (AR-OI) (PubMed:22689593). {ECO:0000269|PubMed:22689593}."
"7","O00566","ENSP00000244230","Nsp8","MPHOSPH10","0.728559172","0.03","2.67","26.67","MPP10_HUMAN","U3 small nucleolar ribonucleoprotein protein MPP10 (M phase phosphoprotein 10)"," Component of the 60-80S U3 small nucleolar ribonucleoprotein (U3 snoRNP). Required for the early cleavages during pre-18S ribosomal RNA processing.",NA,NA
"8","O14578","ENSP00000261833","Nsp13","CIT","0.887314876","0.0","6.0","60.0","CTRO_HUMAN","Citron Rho-interacting kinase (CRIK) (EC 2.7.11.1) (Serine/threonine-protein kinase 21)"," Plays a role in cytokinesis. Required for KIF14 localization to the central spindle and midbody. Putative RHO/RAC effector that binds to the GTP-bound forms of RHO and RAC1. It probably binds p21 with a tighter specificity in vivo. Displays serine/threonine protein kinase activity. Plays an important role in the regulation of cytokinesis and the development of the central nervous system. Phosphorylates MYL9/MLC2. {ECO:0000269|PubMed:16236794, ECO:0000269|PubMed:16431929, ECO:0000269|PubMed:21457715, ECO:0000269|PubMed:27453578}.",NA," Microcephaly 17, primary, autosomal recessive (MCPH17) [MIM:617090]: A form of microcephaly, a disease defined as a head circumference more than 3 standard deviations below the age, sex and ethnically matched mean. Brain weight is markedly reduced and the cerebral cortex is disproportionately small. MCPH17 is a severe form characterized by lissencephaly, enlarged ventricles, agenesis of the corpus callosum, cerebellar hypoplasia, and brainstem hypoplasia. Patients manifest delayed psychomotor development, intellectual disability, spasticity, axial hypotonia, and dysmorphic features. {ECO:0000269|PubMed:27453578, ECO:0000269|PubMed:27453579, ECO:0000269|PubMed:27503289, ECO:0000269|PubMed:27519304}. Note=The disease is caused by mutations affecting the gene represented in this entry."
"9","O14656","ENSP00000345719","Orf8","TOR1A","0.879789245","0.04","2.0","20.0","TOR1A_HUMAN","Torsin-1A (Dystonia 1 protein) (Torsin ATPase-1A) (EC 3.6.4.-) (Torsin family 1 member A)"," Protein with chaperone functions important for the control of protein folding, processing, stability and localization as well as for the reduction of misfolded protein aggregates. Involved in the regulation of synaptic vesicle recycling, controls STON2 protein stability in collaboration with the COP9 signalosome complex (CSN). In the nucleus, may link the cytoskeleton with the nuclear envelope, this mechanism seems to be crucial for the control of nuclear polarity, cell movement and, specifically in neurons, nuclear envelope integrity. Participates in the cellular trafficking and may regulate the subcellular location of multipass membrane proteins such as the dopamine transporter SLC6A3, leading to the modulation of dopamine neurotransmission. In the endoplasmic reticulum, plays a role in the quality control of protein folding by increasing clearance of misfolded proteins such as SGCE variants or holding them in an intermediate state for proper refolding. May have a redundant function with TOR1B in non-neural tissues. {ECO:0000269|PubMed:15505207, ECO:0000269|PubMed:16361107, ECO:0000269|PubMed:17428918, ECO:0000269|PubMed:18167355, ECO:0000269|PubMed:18827015, ECO:0000269|PubMed:19339278, ECO:0000269|PubMed:20169475, ECO:0000269|PubMed:23569223}.","5J1S;5J1T;6OIF"," Dystonia 1, torsion, autosomal dominant (DYT1) [MIM:128100]: A primary torsion dystonia, and the most common and severe form. Dystonia is defined by the presence of sustained involuntary muscle contractions, often leading to abnormal postures. Dystonia type 1 is characterized by involuntary, repetitive, sustained muscle contractions or postures involving one or more sites of the body, in the absence of other neurological symptoms. Typically, symptoms develop first in an arm or leg in middle to late childhood and progress in approximately 30% of patients to other body regions (generalized dystonia) within about five years. 'Torsion' refers to the twisting nature of body movements observed in DYT1, often affecting the trunk. Distribution and severity of symptoms vary widely between affected individuals, ranging from mild focal dystonia to severe generalized dystonia, even within families. {ECO:0000269|PubMed:14970196, ECO:0000269|PubMed:15505207, ECO:0000269|PubMed:16361107, ECO:0000269|PubMed:17428918, ECO:0000269|PubMed:18167355, ECO:0000269|PubMed:18477710, ECO:0000269|PubMed:18827015, ECO:0000269|PubMed:19955557, ECO:0000269|PubMed:20169475, ECO:0000269|PubMed:21102408, ECO:0000269|PubMed:27490483, ECO:0000269|PubMed:9288096}. Note=The disease is caused by mutations affecting the gene represented in this entry."
"10","O14745","ENSP00000262613","Orf9b","SLC9A3R1","0.993764827","0.0","5.0","50.0","NHRF1_HUMAN","Na(+)/H(+) exchange regulatory cofactor NHE-RF1 (NHERF-1) (Ezrin-radixin-moesin-binding phosphoprotein 50) (EBP50) (Regulatory cofactor of Na(+)/H(+) exchanger) (Sodium-hydrogen exchanger regulatory factor 1) (Solute carrier family 9 isoform A3 regulatory factor 1)"," Scaffold protein that connects plasma membrane proteins with members of the ezrin/moesin/radixin family and thereby helps to link them to the actin cytoskeleton and to regulate their surface expression. Necessary for recycling of internalized ADRB2. Was first known to play a role in the regulation of the activity and subcellular location of SLC9A3. Necessary for cAMP-mediated phosphorylation and inhibition of SLC9A3. May enhance Wnt signaling. May participate in HTR4 targeting to microvilli (By similarity). Involved in the regulation of phosphate reabsorption in the renal proximal tubules. Involved in sperm capacitation. May participate in the regulation of the chloride and bicarbonate homeostasis in spermatozoa. {ECO:0000250, ECO:0000269|PubMed:10499588, ECO:0000269|PubMed:18784102, ECO:0000269|PubMed:9096337, ECO:0000269|PubMed:9430655}.","1G9O;1GQ4;1GQ5;1I92;1SGH;2D10;2JXO;2KJD;2KRG;2M0T;2M0U;2M0V;2OZF;4JL7;4LMM;4MPA;4N6X;4PQW;4Q3H"," Nephrolithiasis/osteoporosis, hypophosphatemic, 2 (NPHLOP2) [MIM:612287]: A disease characterized by decreased renal phosphate absorption, renal phosphate wasting, hypophosphatemia, hyperphosphaturia, hypercalciuria, nephrolithiasis and osteoporosis. {ECO:0000269|PubMed:18784102, ECO:0000269|PubMed:22506049}. Note=The disease is caused by mutations affecting the gene represented in this entry."
